"gene_id","lfc"
"c34318_g4",0.563802443248395
"twi_ss.27451a",1.02799511611192
"twi_ss.27446",1.04055495917709
"twi_ss.25770",0.149646130590552
"twi_ss.6704",1.32695704926762
"twi_ss.25769",0.158556212335224
"twi_ss.6705",1.33282741317386
"twi_ss.16506",-0.0708346979172903
"twi_ss.15470b",0.112471041061496
"twi_ss.12961",0.139624386299885
"twi_ss.15471",-0.0749206353296619
"twi_ss.26633b",-0.28913815491487
"twi_ss.27623",-0.443448316954469
"twi_ss.12958",0.131307573388404
"twi_ss.852",0.0515647567204738
"twi_ss.13086",-0.235193778507795
"twi_ss.18968",0.723647906126481
"twi_ss.24304",0.511524626296784
"twi_ss.653",-4.6262726269543
"twi_ss.29596",-0.466401421293106
"twi_ss.24735",3.52260516472143
"twi_ss.23691",-0.181938604416991
"c29412_g1",-0.344141963924282
"twi_ss.11772",0.653426844244237
"twi_ss.18966",0.755146471657394
"twi_ss.10965",0.353097418459408
"twi_ss.5273",-0.896154269561877
"twi_ss.21475",-0.609082772932652
"g13108",0.510550107190371
"twi_ss.13085a",0.00412431890732718
"twi_ss.30134",2.59806226343559
"twi_ss.29603",0.41497398085779
"twi_ss.18630",-0.574607045068309
"twi_ss.26632",-0.161631335436878
"twi_ss.20178",-0.726768821997128
"twi_ss.26635",-0.341067103643678
"twi_ss.19355",-0.341657707062637
"twi_ss.4874",0.375598727492338
"twi_ss.8496",-0.0532810428443856
"twi_ss.24236",-0.873336912463639
"twi_ss.22247",-0.230964641980393
"twi_ss.19353",-1.37701122103592
"twi_ss.17799",0.635909931642971
"twi_ss.5863",-0.662532147793442
"twi_ss.26500",0.418788888797518
"twi_ss.1034",-0.638925591098259
"twi_ss.8463",0.0465636190570115
"twi_ss.24302",0.568039579869462
"twi_ss.29545",0.414996114471538
"twi_ss.17902b",-0.581713224359438
"twi_ss.20152",-1.2063605401433
"twi_ss.6983",0.691766476497715
"twi_ss.2830",-0.455101291807964
"twi_ss.70",-0.0313576941058794
"twi_ss.4223",-0.339653960103915
"c24305_g3",-0.394242875112682
"twi_ss.27621",-0.153621648012768
"twi_ss.10963",0.0881552593868605
"twi_ss.3014",1.05855398961922
"twi_ss.6907b",-0.136688669725773
"twi_ss.2678",-0.384534746561669
"twi_ss.8887",-0.299173757839165
"twi_ss.9089",-1.74179242524635
"twi_ss.13293",-0.586659074829521
"twi_ss.20752",-0.151668475268819
"c28787_g1",-0.349744196153865
"c25981_g1",-1.26436268160557
"twi_ss.13102a",0.395576182396684
"twi_ss.20203",1.34867714422781
"twi_ss.19926",-0.0245506235044386
"twi_ss.29765",1.13208629523967
"twi_ss.19030",0.204604858506462
"twi_ss.29768",1.12651784083399
"twi_ss.10747b",0.497610002631768
"twi_ss.3197",-0.174082074602386
"twi_ss.22049b",0.769249759845282
"g20576",-0.289097391905328
"twi_ss.30418",-0.30496549601835
"twi_ss.3782",0.276755288743726
"twi_ss.30935",-0.680223351132629
