"","DC33","DC39","DC85","DC93","DC97","DC135","DC136","DC108","DC110","DC112","DC114","DC118","DC123","DC131","DC24","DC56"
"k141_3636_26_TPR_repeat",-0.780374997764127,-1.1693528377611,-1.00380016676176,-1.02758486099477,-0.332478905805545,-0.556786925904621,-0.21350397190651,0.15152970456841,-1.06520397684213,-0.162478990474638,0.0884004909190868,0.663109952925219,1.55989224152819,0.760559663593635,0.8083120241084,2.27976155657227
"k141_618118_13_UbiD_family_decarboxylase",-0.688605230730935,-0.900486486251008,-0.498041063357234,-0.0220114517726929,-0.602748990451165,-0.411413550427464,-0.772303535581035,0.193059722244209,-0.803203064909449,-0.145028318033507,0.665473364896511,0.158824696620536,0.692069157005804,0.0214726355444416,-0.152512806934385,3.26545492213737
"k141_953242_6_CAAX_protease_self-immunity",-1.21842296617716,-0.485377635969223,-0.190605160328812,-0.0919061519083592,-0.609914298140467,0.113698822693953,-0.641309504219573,-0.97956951532603,-0.651115871378102,-0.0120152345479274,0.66634398609493,0.396520299298015,0.425877254515696,0.434677723996268,-0.316543865270022,3.1596621166668
