"","DC129","DC105","DC107","DC116","DC121","DC133","DC54","DC55"
"RUVBL1_ATP-dependent_5'-3'_DNA_helicase_activity",-1.3892417751316,-0.22769206936416,0.132603726076075,0.434365608436744,1.20921797891491,0.0391165902358687,1.19087171596376,-1.3892417751316
"K02A2.6-like",-1.48024654257799,0.0666050327750001,0.569996861451905,0.580735897758312,-1.48024654257799,1.18233287135797,-0.164550359273035,0.725372781085836
"G/U_mismatch-specific_uracil-DNA_glycosylase_activity",-1.53561331291753,0.215629989720248,-0.0839679945233084,0.616399607789471,-1.53561331291753,0.94316350755406,0.755302443067609,0.624699072226988
