"gene_id","logP"
"isogroup107232_c0_g1",NA
"isogroup10725_c0_g1",0.32579443274271
"isogroup107279_c0_g1",-0.633011947023562
"isogroup107289_c0_g1",-0.0110330095830885
"isogroup107299_c0_g1",0
"isogroup107300_c0_g1",0
"isogroup107305_c0_g1",-0.847255696661986
"isogroup107306_c0_g1",-0.0110330095830885
"isogroup107319_c0_g1",0
"isogroup107359_c0_g1",-0.478230822687505
"isogroup107376_c0_g1",-0.201759436028112
"isogroup107380_c0_g1",0
"isogroup107390_c0_g1",-0.0110330095830886
"isogroup107421_c0_g1",0
"isogroup107446_c0_g1",0
"isogroup107510_c0_g1",NA
"isogroup107572_c0_g1",-0.770662318877721
"isogroup107602_c0_g1",0
"isogroup107640_c0_g1",0.722413403870499
"isogroup107668_c0_g1",0
"isogroup107707_c0_g1",-0.351714120464993
"isogroup107719_c0_g1",0.263453767233913
"isogroup107779_c0_g1",0
"isogroup107820_c0_g1",-0.348063126618
"isogroup107839_c0_g1",0
"isogroup107844_c0_g1",-0.700151270669959
"isogroup107849_c0_g1",-0.409830982924584
"isogroup107858_c0_g1",0.457117675074476
"isogroup107870_c0_g1",-0.401048482563251
"isogroup107885_c0_g1",-0.0110400231923082
"isogroup107893_c0_g1",0
"isogroup1078_c0_g1",0
"isogroup107906_c0_g1",-0.478230822687505
"isogroup107909_c0_g1",0
"isogroup107938_c0_g1",0
"isogroup107955_c0_g1",-0.290285480804129
"isogroup107963_c0_g1",0.325803578538389
"isogroup107983_c0_g1",0
"isogroup107987_c0_g1",-0.348065872290053
"isogroup108021_c0_g1",2.26639385526247
"isogroup108037_c0_g1",0
"isogroup108064_c0_g1",0
"isogroup10809_c0_g1",0
"isogroup108101_c0_g1",-0.490686734145786
"isogroup108115_c0_g1",0
"isogroup108123_c0_g1",-1.18504108855917
"isogroup108137_c0_g1",1.61510466804675
"isogroup108184_c0_g1",0
"isogroup108185_c0_g1",-0.348058562334768
"isogroup108188_c0_g1",-0.206449203840545
"isogroup10819_c0_g1",0.215629013723042
"isogroup108314_c0_g1",0.986695772143024
